,,DETALĖ,I,P,,,BRIAUNOS,,Q,,,T,,,,,,,,,,,,
113,,TOP,861,194,,,2pt pi si-x,,1,↓,Ž,,,,,,+,,,,,,,
114,,TOP,1010,194,,,,,1,↓,Ž,,,,,,,,,,,,,
115,,KOJOS,1219,709,,,pi -> cnc,,2,↓,Ž,,,,,,+,,,,,,,
117,,STANDUMAS,1160,1010,,,,,1,↑,R,,,,,,,,,,,,,
117,,STANDUMAS,861,1160,,,2pi pt stx,,1,↑,R,,,,,,+,,,,,,,
118,"STORAGE CABINET ""36""",DURELĖS,634,422,,,2si 2st,,2,↑,R,,,,,,,,,,,,,
119,,LENTYNA,834,470,,,si,,1,↓,Ž,,,,,,,,,,,,,
,,DURELĖS,955,422,,,2si 2st,,,,,,,,,,,,,,,,,
,,NUGARA,1032,836,,,tp,,,,,,,,,,,,,,,,,
120,"MOBILE ""24""",TOP/APAČIA,392,570,,,2si 2st,,1,,,,,,,,,,,,,,,
121,,NUGARA,481,358,,,-,,,,,,,,,,,,,,,,,
122,VERTICAL,TOP,392,570,,,2si 2st,,1,,,,,,,,,,,,,,,
123,,ŠONELIAI,1351,544,,,pt pi si,,2,,,,,,,,+,,,,,,,
124,,NUGARA,1351,358,,,pt,,1,,,,,,,,+,,,,,,,
125,,APAČIA,358,525,,,st,,2,↑,R,,,,,,,,,,,,,
126,,PASTORINIMAS,504,65,,,,,2,,,,,,,,,,,,,,,
127,CONFERENCE,STANDUMAS,382,1000,,,4p,,,↓,Ž,,,,,,+,,,,,,,
128,,STANDUMAS,382,1300,,,4p,,,↓,Ž,,,,,,+,,,,,,,
129,,STANDUMAS,382,1468,,,4p,,,↓,Ž,,,,,,+,,,,,,,
130,,STANDUMAS,1213,1213,,," 1p
2s kampu",,,,,,,,,,+,,,,,,,
,,STANDUMAS,1194,450,,,4p,,,↑,R,,,,,,,,,,,,,
,"LOWER
CREDENZA",TOP,764,379,,,3p 1six,,1,↓,,,,,,,,,,,,,,
,,SHELF,729,342,,,4p,,1,↑,,,,,,,,,,,,,,
,,BACK,731,417,,,4p,,1,↑,,,,,,,,,,,,,,
,,BOTTOM,764,379,,,3p 1six,,1,↑,,,,,,,,,,,,,,
,,DOOR,376,451,,,4s (2t2s),,1,↑,,,,,,,,,,,,,,
,,SIDE,417,379,,,3p 1si,,2,↑,,,,,,,,,,,,,,
,WARDROBE,TOP,1111,2222,,,...,,1,↓,,,,,,,,,,,,,,
133,OTELLO OAK 18,MODESTY PANEL,711,1624,,,4p,,,,,,,,,,+,,,,,,,
134,,MODESTY PANEL,711,1473,,,4p,,,,,,,,,,+,,,,,,,
135,,BOOKCASE BACK,1627,851,,,4p,,,,,,,,,,+,,,,,,,
136,,MODESTY PANEL,711,1148,,,4p,,,,,,,,,,+,,,,,,,
137,,HUTCH BACK,888,1624,,,,,,,,,,,,,,,,,,,,
138,,HUTCH DOOR, , ,,,,,,,,,,,,,,,,,,,,
139,,LATERAL FILE DRAWER FRONT,888,310,,,,,,,,,,,,,,,,,,,,
140,,LATERAL FILE BOTTOM,856,516,,,,,,,,,,,,,,,,,,,,
141,,BBF SIDE,711,536,,,2pt 1pi 1si,,,,,,,,,,+,,,,,,,
142,,LATERAL FILE BACK,711,856,,,1p,,,,,,,,,,+,,,,,,,
143,,TOE KICK (LATERAL FILE),64,888,,,,,,,,,,,,,,,,,,,,
144,,BBF BACK,711,358,,,2tp,,,,,,,,,,+,,,,,,,
145,,BBF BOTTOM,358,516,,,1ts,,,,,,,,,,,,,,,,,
146,,BF DRAWER FRONT LARGE,388,310,,,,,,,,,,,,,,,,,,,,
147,,BF DRAWER FRONT SMALL,388,150,,,,,,,,,,,,,,,,,,,,
,,TOE KICK (FULL HEIGHT),64,388,,,,,,,,,,,,,,,,,,,,
,,BF SIDE,480,536,,,3p 1st,,,↓,Ž,,,,,,,,,,,,,
,,BF,358,358,,,,,,↓,Ž,,,,,,,,,,,,,
,,BF,415,358,,,,,,↓,Ž,,,,,,,,,,,,,
,OTELLO OAK 25,HUTCH TOP,1670,370,,,1p 3s,,,,,,,,,,,,,,,,,
,,HUTCH SHELF,1624,327,,,3p 1si,,,,,,,,,,,,,,,,,
,,HUTCH RAIL,1624,79,,,2p,,,,,,,,,,,,,,,,,
,,BOOKCASE SIDE,1624,280,,,pt pi si sij,,,,,,,,,,,,,,,,,
,,TOP,897,280,,,1p 3s,,,,,,,,,,,,,,,,,
,,HUTCH SIDE,886,370,,,pt pi si sij,,,,,,,,,,,,,,,,,
,,BOOKCASE SHELF FIXED,851,257,,,3p 1s,,,,,,,,,,,,,,,,,
,,BOOKCASE KICK PLATE,851,79,,,,,,,,,,,,,,,,,,,,
,,TOP,1670,756,,,,,,,,,,,,,,,,,,,,
,,CREDENZA TOP,1670,594,,,,,,,,,,,,,,,,,,,,
,,TOP,1519,756,,,,,,,,,,,,,,,,,,,,
,,SINGLE TOP,1194,594,,,,,,,,,,,,,,,,,,,,
,,RETURN TOP,1194,594,,,,,,,,,,,,,,,,,,,,
,,RETURN TOP,1060,594,,,,,,↓,Ž,,,,,,,,,,,,,
,,HUTCH DIVIDER,327,327,,,"3p 1s
(storos br text turi 
matchint detales text)",,,↓,Ž,,,,,,,,,,,,,
,,RETURN MODESTY PANEL,709,1168,,,,,,↓,Ž,,,,,,,,,,,,,
,,RETURN MODESTY PANEL,709,1034,,,,,,,,,,,,,,,,,,,,
,,END PANEL,709,756,,,,,,,,,,,,,,,,,,,,
,,END PANEL,709,594,,,,,,,,,,,,,,,,,,,,
,,LATERAL FILE TOP,894,554,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,1032,544,,,pt pi si,,,,,,,,,,,,,,,,,
,,,1527,544,,,pt pi si,,,,,,,,,,,,,,,,,
,,,1527,836,,,pt,,,,,,,,,,,,,,,,,
,,,1032,836,,,pt,,,,,,,,,,,,,,,,,
,,,1351,358,,,pt,,,,,,,,,,,,,,,,,
,,,1351,544,,,pt pi si,,,,,,,,,,,,,,,,,
,,,306,814,,,4p,,,CNC,,,,,,,,#REF!,,,,,,
,,,306,1119,,,4p,,,CNC,,,,,,,,,,,,,,
,,,306,1423,,,4p,,,CNC,,,,,,,,,,,,,,
,,,306,1274,,,4p,,,CNC,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,138,754,,,2pi 2st -> HOLZMA-> 1pi,,,,,,,,,,,#REF!,,,,,,
,,,138,751,,,2pi 2st -> HOLZMA-> 1pi,,,,,,,,,,,#REF!,,,,,,
,,,138,893,,,2pi 2st -> HOLZMA-> 1pi,,,,,,,,,,,#REF!,,,,,,
,,STORAGE CABINET,135,836,,,2pi -0.2,,,CNC,,,,,,,,,,,,,,
,,LATERAL FILE,76,836,,,2pi -1,,,Dyg.,,,,,,,,,,,,,,
,,BBF,76,358,,,2pi -1,,,Dyg.,,,,,,,,,,,,,,
